track_id,bit_rate,genre_top
2,256000,Hip-Hop
5,256000,Hip-Hop
10,192000,Pop
140,128000,Folk
141,128000,Folk
148,256000,Experimental
182,256000,Rock
190,256000,Folk
193,256000,Folk
194,256000,Folk
197,256000,Folk
200,256000,Folk
203,256000,Folk
204,256000,Folk
207,256000,Folk
210,256000,Folk
211,256000,Folk
212,256000,Folk
213,256000,Pop
255,256000,Rock
256,256000,Rock
368,256000,Rock
424,256000,Experimental
459,128000,Rock
534,128000,Folk
540,128000,Folk
546,128000,Folk
574,219522,Rock
602,160000,Folk
615,256000,Experimental
620,256000,Folk
621,256000,Folk
625,256000,Folk
666,256000,International
667,256000,International
676,256000,Hip-Hop
690,256000,Rock
694,160000,Hip-Hop
695,160000,Hip-Hop
704,256000,International
705,256000,International
706,256000,International
707,256000,International
708,256000,International
709,192000,International
714,256000,Folk
715,256000,Folk
716,256000,Folk
718,256000,Folk
777,256000,Rock
814,256000,Folk
821,256000,Pop
822,256000,Pop
825,128000,Rock
853,256000,International
890,256000,Folk
892,256000,Folk
897,256000,Experimental
993,256000,Rock
995,256000,Experimental
997,256000,Experimental
998,256000,Experimental
1039,256000,Rock
1040,192000,Rock
1066,192000,Experimental
1069,192000,Experimental
1073,192000,Experimental
1075,192000,Experimental
1082,256000,International
1083,192000,Experimental
1087,256000,Rock
1102,256000,Rock
1193,192000,Folk
1195,192000,Folk
1196,192000,Folk
1197,192000,Folk
1249,256000,Experimental
1259,256000,Experimental
1270,128000,Rock
1276,256000,Experimental
1277,256000,Experimental
1278,256000,Experimental
1417,256000,Rock
1427,128000,Rock
1443,192000,Experimental
1482,256000,Electronic
1510,256000,Experimental
1544,256000,Folk
1642,256000,Pop
1644,256000,Pop
1649,256000,Pop
1661,256000,Pop
1663,192000,Pop
1666,192000,Pop
1673,192000,Experimental
1680,256000,International
1681,256000,International
1682,256000,International
1683,256000,International
1684,256000,International
1685,256000,International
1686,256000,International
1687,256000,International
1688,256000,International
1689,256000,International
1701,256000,Folk
1702,256000,Folk
1703,256000,Folk
1704,256000,Folk
1706,128000,Rock
1720,192000,Rock
1732,256000,Experimental
1733,256000,Experimental
1735,256000,Experimental
