genre_top,0,1,2,3,4
Hip-Hop,771087.2950523865,824558.8672217127,131945.6329831932,-1545.8753558020423,-297.7382990731174
Hip-Hop,881886.3120346456,280852.8958930338,213919.19820788573,-443.87321370715114,-388.2287738106605
Pop,-1484342.5356015922,-293514.239336971,-315334.96642749145,-2612.720128918756,-587.7349651396538
Folk,3235235.247179403,-311332.5282036043,392882.66150651145,2621.2420048817353,2598.319409473718
Folk,-1690598.9660429137,43748.20780155909,-44016.80416277072,1555.1364870411246,4807.796658874203
Experimental,-2511929.996324634,-107910.28367066874,-56716.93749373603,133.34618852441773,-374.6779672875101
Rock,-4714347.260501736,59478.25418126276,117293.6633188943,519.0674715630764,-815.728980196608
Folk,-1978889.1674235617,152517.76967800473,64251.81497235657,360.29756304630223,-390.2456213760746
Folk,-1430123.2264067547,28058.278854230262,-183627.43571691,557.4780393345105,2094.6362536277156
Folk,-3994071.481926254,8899.592851100613,-29660.556493803913,783.0944371876124,1870.4988065011241
Folk,-4693288.674493402,63786.49230772158,5794.598389699891,2022.8461859788442,2511.9281687206303
Folk,-2878058.013354451,298872.8117772467,-24230.141788725185,151.70402653520532,-188.9441169984393
Folk,-3705602.517421665,-78397.55904918355,-30523.726052239806,1454.9950317788096,523.5885335329567
Folk,-173303.88201291417,385068.8404165172,127039.01773814493,1686.0078954372266,194.5013740501926
Folk,2808782.841935634,-619652.8515066936,-653228.3007244355,-17.175373785791255,2520.5809655364974
Folk,-3584377.752940535,90742.29852015091,52594.362880854846,224.60067429781637,-250.88655135314
Folk,-2915378.4027720653,-143243.41052579484,-147522.41703399734,80.534624709367,-315.374729579349
Folk,1615177.846628964,-240158.56897016123,148202.71432361298,-725.7666929706132,-554.7261093347128
Pop,-3384545.4264900526,-45286.9611372458,-6289.118755237143,1857.353307959031,447.71294427161826
Rock,-4508222.226606779,15410.315217144918,23853.07454288875,1786.870887376564,326.52007439333886
Rock,-2623184.2698138757,-65953.12778074166,-84362.48769011909,-1787.2896837573878,-846.5698379280261
Rock,1645363.806403434,-432667.66849733016,546579.5554880778,2503.054606710971,400.2037620524676
Experimental,-5464437.118828498,89128.95444512033,78265.15764371098,390.7507221394479,-276.6748581526081
Rock,4354472.918332791,-851374.1732742065,-42122.19127988068,-1513.5531302263346,-1017.5859400736164
Folk,-4093340.979117544,-34579.15086882668,125631.02463008772,2453.875099208054,196.34029683781023
Folk,-4284092.331315191,42440.49989317478,118128.31915001899,1594.903929273127,1153.8329887883785
Folk,-4153141.586953924,33231.155047160326,92385.04331517215,1945.4276355587303,1433.264463291399
